VEHICLE
NUMBER     CAPACITY
   16          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2055           10
    1        125        574         16         1358       1384           10
    2        686        646         28            0        903           10
    3        537        881         25         1181       1198           10
    4        228        924         10            0        665           10
    5        108        737          5            0       1321           10
    6        517         89         30          784        832           10
    7        703        201          6          660        678           10
    8        548        496         14         1949       1964           10
    9        886        286         32         1069       1095           10
   10        441        497         14          556        595           10
   11        262        880         25            0       1088           10
   12        651        734         10            0        692           10
   13        697        945         21            0        792           10
   14        614        134         35            0       1208           10
   15         86        746         21         1296       1341           10
   16        190        877          1         1476       1531           10
   17        468        831         33          888        930           10
   18         60        482          7          827        881           10
   19        185        322          6          763        781           10
   20        913        207          3          976       1022           10
   21        144        419         19         1461       1516           10
   22        703        661         35         1210       1249           10
   23        121        573          3         1096       1106           10
   24        538        804         16            0        788           10
   25        238        862         34          824        843           10
   26         18        651         26            0       1321           10
   27        434        184         24          804        864           10
   28        266        428         31          361        398           10
   29        573        791         19          880        917           10
   30        723        121         14            0        798           10
   31        982        254          4         1365       1377           10
   32        268        356         10            0       1385           10
   33          4        795         22            0       1011           10
   34         86        595         16            0        790           10
   35        484        133         26         1106       1124           10
   36        128        565         35            0        986           10
   37        635        393         33            0       1107           10
   38        614        965         32         1120       1135           10
   39        790        658         13            0       1151           10
   40        122        764         31            0       1444           10
   41        891        203         11            0        590           10
   42        611        852         17            0        939           10
   43         77        545         35          649        667           10
   44        137        389          4            0       1299           10
   45        185        895          6          901        929           10
   46        361        198         12            0       1259           10
   47        613        844          7            0       1106           10
   48        625        842         19            0       1111           10
   49        570        667         28         1739       1757           10
   50         78        551         19         1302       1353           10
   51        231        929         21         1051       1078           10
   52        437         51         26            0        807           10
   53        740        277         35            0       1097           10
   54        484        434         14          213        240           10
   55        837        413         27            0       1271           10
   56        910        812         31            0       1081           10
   57        110        924          9         1280       1297           10
   58         76        586         28            0       1441           10
   59        186        604         24          614        653           10
   60        437        990         22            0       1145           10
   61        791       1000          3            0       1397           10
   62        505        879         11            0       1360           10
   63         96        704         32         1040       1069           10
   64        108        844         17            0       1486           10
   65        464         97         24          727        781           10
   66        776        701          6         1220       1246           10
   67        208        771         17            0        970           10
   68        528         72         14          455        506           10
   69        560        167         30          893        924           10
   70        199        961         20            0       1070           10
   71        261        920         18            0       1002           10
   72         42        864         17         1322       1341           10
   73        309        311         21            0        325           10
   74        433        464         23         1154       1184           10
