VEHICLE
NUMBER     CAPACITY
   13          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2491           10
    1        643        109         20            0       1583           10
    2        679        672          2          686        702           10
    3        691        484         12            0       2070           10
    4        177        486          8            0        853           10
    5        248        562          1          628        658           10
    6        177        461         13            0       1186           10
    7        377         73          6          832        860           10
    8        598        557          3            0       1645           10
    9        208        482         34            0        971           10
   10        829        313         26          453        488           10
   11        692        260          3         1786       1804           10
   12        557        723         28            0       1237           10
   13        700        435         29            0       1402           10
   14        720         81         14         1673       1717           10
   15        815        960         13         1682       1727           10
   16        507         88         16            0       1766           10
   17        668        936         25          505        532           10
   18        110        431         30          822        838           10
   19        497         49         20         1670       1691           10
   20         94        163          3          529        564           10
   21        593        547         11            0       1419           10
   22        905        488          2            0       1991           10
   23        603        159          7         1285       1338           10
   24        989        821         10         1647       1679           10
   25        362        282         22         2152       2179           10
   26        711        544         17         2115       2130           10
   27        989        201         28          887        900           10
   28        654        966         22         1127       1183           10
   29        722        975         34         1786       1812           10
   30        576        120          3            0       1760           10
   31        743         85         16         1361       1386           10
   32        665        656         12            0        856           10
   33        588        966         12            0       1567           10
   34        488        118         14            0        408           10
   35        869        778         18            0       1278           10
   36        449        901         33         1913       1934           10
   37        174        442          1         1006       1063           10
   38        722        640         24         1338       1361           10
   39        324        578         11         1332       1378           10
   40        688        394          7         1974       2010           10
   41        750        851         23            0       1795           10
   42        562        723         11            0       1471           10
   43        164        489          4          707        749           10
   44        670        634         11            0        766           10
   45        726        592         26            0        996           10
   46        738         61          4         1012       1063           10
   47        728        477         28         1925       1935           10
   48        726        402          9            0       1847           10
   49        750        336         16            0        849           10
   50        667         81         15         1724       1735           10
   51        281        450          2         1431       1477           10
   52         38        454          2         1399       1449           10
   53         50        786          8            0        586           10
   54        204        954         13         1644       1656           10
   55        743        895          3            0       1523           10
   56        694        633         35            0       1033           10
   57        759        643          6          935        959           10
   58        622        221         31         1246       1293           10
   59        663        540         30         2099       2152           10
   60        320        149         14            0       1361           10
   61        287        516         15         1162       1193           10
   62        841        882         24            0       1820           10
   63        169        540         13            0       1205           10
   64        692        512         10         1955       1975           10
   65        855        229          1         1245       1292           10
   66        678        560         10         1634       1665           10
   67        626        688         21            0        768           10
   68         94        762          5            0       1084           10
   69        627        928          1          925        963           10
   70        791        511         33         1551       1598           10
   71        558        108         11         1544       1593           10
   72        625        160          1         1630       1656           10
   73        901        607         24            0        808           10
   74        542         66         35            0       1374           10
