VEHICLE
NUMBER     CAPACITY
   14          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2224           10
    1        238        806         10         1173       1214           10
    2         39         32          1            0       1120           10
    3        608        824         20         1386       1415           10
    4         32        619         28            0       1435           10
    5        575        573         15          447        503           10
    6          4         34         32         1056       1091           10
    7        352        608         11         1783       1798           10
    8        308        863         27         1324       1369           10
    9        407        986          5            0       1296           10
   10        290        775         15          782        798           10
   11        413         50          8          581        617           10
   12        278        658         34            0        984           10
   13        900        294         32          648        665           10
   14          4         13         23            0        923           10
   15        882        652          9         1348       1400           10
   16        958        515         15            0        524           10
   17         57         57         16          971        990           10
   18        331        571          5          379        413           10
   19        959        395         21            0       1388           10
   20        700        690         15            0        667           10
   21        943        449         28            0       1583           10
   22        128        584         16          935        961           10
   23        705         20          5            0       1235           10
   24        489        560          6            0        768           10
   25        635        890         19          709        769           10
   26        546        947         18            0        934           10
   27        291        832         32            0       1323           10
   28        277        827         11         1064       1093           10
   29        321        700         20         1080       1133           10
   30        620        884         26            0       1385           10
   31        561        613         35         1296       1327           10
   32        204        679         19          825        877           10
   33        138         65         32            0       1199           10
   34         58        903         25          705        735           10
   35        868        208          1            0       1667           10
   36        321        728          1            0       1061           10
   37        305        837         30            0       1463           10
   38        535        665          8          857        869           10
   39        590        845         18         1093       1117           10
   40         69        140          9         1244       1285           10
   41        737        699         25          427        437           10
   42        433        705         23         1602       1626           10
   43        207        745         24         1328       1369           10
   44        706        846         13            0       1031           10
   45        850          1         30         1385       1409           10
   46        118          3         25         1073       1132           10
   47        241        789         19          936        953           10
   48          8         93         16         1236       1279           10
   49         83        696         14          993       1018           10
   50         39         91         17            0       1251           10
   51         65        568         12            0       1583           10
   52        447        853         11          899        933           10
   53        355        588         25          216        255           10
   54        594        300         33          233        277           10
   55        834        751         14          667        682           10
   56         70        778         34            0       1112           10
   57        430        852         18          786        816           10
   58        567        848          7            0        742           10
   59         20        625         32            0       1375           10
   60         97         88         26         1161       1199           10
   61        243        794         15         1139       1193           10
   62        153        888          2            0        737           10
   63        541        815         22         1579       1595           10
   64        627        966         31         1121       1170           10
   65        223        381         13            0        534           10
   66        254        734         27          691        748           10
   67         32         23         31         1148       1172           10
   68        932        377         17            0       1531           10
   69        105        602         21         1408       1447           10
   70        962        871         32            0       1153           10
   71        595        905         15         1250       1260           10
   72        158        199         17            0        648           10
   73        965        476          7            0        715           10
   74        775        175          8          847        880           10
