VEHICLE
NUMBER     CAPACITY
   15          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2090           10
    1         10        557          6            0       1583           10
    2        409        805          2          440        467           10
    3        289        171         11            0        888           10
    4        684        531         17         1814       1825           10
    5        786        577         35            0       1145           10
    6        275        176         14         1146       1193           10
    7        662        565          2            0       1445           10
    8        792        327         27            0       1249           10
    9        697        586          9         1423       1470           10
   10        570        793         10         1302       1336           10
   11        724        641          3          635        667           10
   12        545        904         25         1044       1073           10
   13        686        609         28         1134       1150           10
   14        255        233         29          872        932           10
   15        693        698         20         1670       1706           10
   16         26        375         25            0        662           10
   17        696        457         15            0        592           10
   18         70        843          6         1389       1411           10
   19        457        762         33            0        377           10
   20        755        550         25            0       1421           10
   21        130         25         12          579        627           10
   22        201        149         17         1119       1172           10
   23        548        260         29            0        609           10
   24        661        478         14         1585       1603           10
   25        477        768         16          751        763           10
   26         42        591         13            0       1507           10
   27        676        445         22            0       1707           10
   28          5        869         33          668        694           10
   29        707        885         27          809        857           10
   30        756        584          1          707        733           10
   31        931        543         13            0       1002           10
   32        448        936          3            0        750           10
   33        762        599         27            0        842           10
   34        471        747          5          637        678           10
   35         93        562         11         1447       1499           10
   36        949        274         18            0       1400           10
   37        714        511         26            0       1079           10
   38        689        514         34            0       1635           10
   39        469        797         25            0        478           10
   40        797        247         21            0        592           10
   41        336        682         30          719        736           10
   42        717        580         22         1051       1068           10
   43        378        839         31            0       1105           10
   44        584        942         30         1039       1076           10
   45         13        585         22         1079       1109           10
   46        440        507         32         1074       1105           10
   47        296        192         21          808        861           10
   48        665        492         20         1136       1190           10
   49        650        494         32          561        617           10
   50         62        592         17         1198       1230           10
   51        800        663         32          953        972           10
   52        115        551         18         1033       1081           10
   53        395         83         32            0       1060           10
   54         82        423         24          982       1026           10
   55         57        115         21            0        641           10
   56        364        646         12            0        772           10
   57         19        627         19            0       1395           10
   58        536        248         15            0       1342           10
   59        501        636          1            0       1486           10
   60        145        619         25            0       1028           10
   61        702        172         27         1181       1191           10
   62        228        159          3            0        939           10
   63        803        139         33          555        580           10
   64        353        798         19          904        924           10
   65        667        501         35            0       1714           10
   66        457        845         14          816        865           10
   67        319        570         27         1788       1809           10
   68        364        648         11         1657       1695           10
   69        700        571          5            0       1224           10
   70        671        161          9            0       1308           10
   71        270        147         27            0       1156           10
   72        809        431         27            0        966           10
   73        794        338          9            0       1436           10
   74        286        286         19          795        834           10
