VEHICLE
NUMBER     CAPACITY
   15          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2136           10
    1        746        998          9          854        908           10
    2         27        251          2         1504       1534           10
    3        413        821         23         1489       1510           10
    4         18        669         11            0       1467           10
    5        863        352          7          720        738           10
    6        599        406         11         1317       1372           10
    7        289        994         21          658        703           10
    8        360        787         13            0       1354           10
    9        387        200         18         1218       1241           10
   10         96        629          4            0       1312           10
   11        444        765         32            0       1670           10
   12        889        561         30         1501       1527           10
   13        494        628         30            0       1492           10
   14         44        369          8            0       1137           10
   15        657        439          6            0       1396           10
   16        451        840          7         1514       1557           10
   17        562        706         30         1486       1506           10
   18        624        344         29            0       1044           10
   19        827        366         32         1217       1238           10
   20        825         58         24         1138       1181           10
   21        214        661         15            0       1239           10
   22        474        826          8         1469       1521           10
   23        648        477         13         1347       1403           10
   24        706        969         14         1094       1151           10
   25         21        702         17            0       1009           10
   26        808        386         15            0        629           10
   27        127        594         32         1495       1548           10
   28         44        574         21            0       1552           10
   29        215        106         31         1109       1127           10
   30        824        338          8         1030       1088           10
   31        129        207         19          425        479           10
   32        421        806         23            0       1559           10
   33        633        169         33         1360       1398           10
   34        622        432         32            0        799           10
   35        670         81         16         1095       1127           10
   36        684        964         22          723        750           10
   37         14        468         35          881        938           10
   38        615        405          7         1019       1034           10
   39        807        956          2            0       1104           10
   40        538        606          1            0        210           10
   41        753        884         25            0        884           10
   42         30        707         17         1079       1115           10
   43        460        847         21         1485       1530           10
   44        783        886         30          986       1002           10
   45        269        754         11            0        946           10
   46        138        194          7         1543       1592           10
   47        482        298          9            0       1657           10
   48         30        558         15            0        736           10
   49         50        663         35         1417       1448           10
   50         70        300          9         1151       1191           10
   51        920        456         33            0        840           10
   52        795        978         20          822        858           10
   53        691        947          9            0        771           10
   54        627        354         18          908        968           10
   55        824        515          2            0        721           10
   56         75        676         24            0       1275           10
   57        492        272         24         1518       1562           10
   58         95        709         20         1473       1523           10
   59        578        623         17          398        423           10
   60        714        997         12            0       1230           10
   61        550        333         32            0       1204           10
   62        764        384         21          842        871           10
   63        732        889         20            0        938           10
   64        569        513         10            0       1481           10
   65        745        159         32            0        423           10
   66        370        891         34            0       1360           10
   67        739        271         10            0        554           10
   68         15        690         31            0       1393           10
   69         55        558         19            0        608           10
   70        710        892         22            0        893           10
   71        133        982          9         1164       1174           10
   72        772        123          5          431        485           10
   73        173         46         30            0       1242           10
   74        846        323         32         1107       1148           10
