VEHICLE
NUMBER     CAPACITY
   11          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2169           10
    1        271        887         25            0        678           10
    2        488        706         33            0        690           10
    3        460        512         10         1909       1959           10
    4        621        936         30            0        679           10
    5        551        520         10            0       1294           10
    6        498        723         28            0       1188           10
    7        917        708          6         1295       1355           10
    8        343        578          6            0       1952           10
    9        507        650          1            0        858           10
   10        622        973         18          712        761           10
   11        944        128         31         1290       1320           10
   12        472        221         21            0        762           10
   13        688        834          6          907        947           10
   14        420        156         21            0       1744           10
   15        499        598         27            0        465           10
   16        680        239         31         1783       1827           10
   17        910        769         34          876        921           10
   18        427        452         28         1501       1532           10
   19        558        719          9            0       1074           10
   20         98        399         20         1005       1061           10
   21        421        512         30         1273       1308           10
   22        662        784         21            0       1489           10
   23         59        825          9            0       1131           10
   24        869        313          4          834        863           10
   25        503        458         31            0       1544           10
   26        269        927          1            0        707           10
   27        792        687          5            0       1408           10
   28        545        729         32            0        548           10
   29        919        669         21            0       1368           10
   30        527        873          3          844        858           10
   31        107         57          1            0       1433           10
   32        468        602         12         1651       1666           10
   33        491        723         35         1054       1111           10
   34        212        161         26            0       1224           10
   35        263        678         10          569        605           10
   36        647        912         14          608        645           10
   37        318        792          9            0        723           10
   38        449        502         12         1841       1878           10
   39        456        460         29            0       1593           10
   40        488        577         27            0       1620           10
   41        681        994          3            0        637           10
   42        480        543         30            0       1045           10
   43        581        749         35            0        790           10
   44        420        478         23         1291       1302           10
   45        313        837         33          886        936           10
   46        941        640         12            0       1641           10
   47        917        927          4            0        706           10
   48        546        438          5            0       2034           10
   49        298        853         21          987       1024           10
