VEHICLE
NUMBER     CAPACITY
   11          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2244           10
    1        635        137         25         1202       1227           10
    2        923        246         19            0       1596           10
    3        927        584          2            0       1045           10
    4        997        426         25            0       1327           10
    5        883        262         14         1477       1514           10
    6        578        190         31            0        803           10
    7        801        515         32          809        827           10
    8        851        531          7         1309       1342           10
    9        994        410         11          482        518           10
   10        544        217          8          628        643           10
   11        946        556         23            0       1254           10
   12        409        172          3            0       1841           10
   13        733        153         32            0        506           10
   14        639         80         12         1064       1088           10
   15        182        492          5            0        376           10
   16        884        971         35            0       1476           10
   17        926        576         19            0       1079           10
   18         23        443         26            0       1613           10
   19        796        275         18         1077       1129           10
   20        952        233         14            0       1615           10
   21        380        575         19          614        631           10
   22          8        472         24          514        574           10
   23        424        853         13            0       1486           10
   24        937        186          8         1266       1314           10
   25        787        339          3          650        663           10
   26        261        845         11            0       1414           10
   27        554        237         35            0       1222           10
   28        852        182         11            0       1617           10
   29        906        257         12            0       1055           10
   30        907        711         35          937        949           10
   31        485        262         25          255        299           10
   32        510        783          6            0        685           10
   33        920        301         25            0       1496           10
   34        200         68         20            0       1476           10
   35        916        627          9         1315       1353           10
   36        297        415         22            0       1703           10
   37        963        284         31         1097       1149           10
   38        361        728         18            0       1938           10
   39        628         46          4          854        890           10
   40        813        290         32            0       1284           10
   41        701        142         11          811        858           10
   42        918        597         26         1247       1296           10
   43        891        349          2            0       1530           10
   44        904        172          4            0       1107           10
   45        936        205         25         1591       1621           10
   46        858        587          6            0       1371           10
   47        874        214         14            0       1488           10
   48        957        161         13            0       1107           10
   49        899        281         33         1216       1227           10
