VEHICLE
NUMBER     CAPACITY
   12          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2131           10
    1        186        469         23          776        820           10
    2        716        307         33            0       1412           10
    3        519        129         23            0        385           10
    4        857        523         30          465        493           10
    5        380        125         11          504        538           10
    6        680        279         16         1078       1120           10
    7        105        589         28          543        587           10
    8        324        376         13            0       1614           10
    9        641        239          6            0       1540           10
   10        952        644         34            0        855           10
   11        282        180         18            0        584           10
   12        202        502         28            0       1260           10
   13        831        442         20            0       1235           10
   14        255        459          5            0        657           10
   15        184        379         16            0        614           10
   16        389        241         19         1239       1256           10
   17        220        574         28         1240       1272           10
   18        225        715          3          425        462           10
   19        171        883         24            0       1151           10
   20        416        210          5            0        665           10
   21        490        898         35          975        999           10
   22        535         74          8            0        682           10
   23        538        114         19          430        451           10
   24        352        679          6            0        937           10
   25        785        606         19         1575       1628           10
   26        453         80         22          970       1023           10
   27        160        688         12            0       1470           10
   28        834        603         26            0       1100           10
   29        580        145         22            0       1209           10
   30         69        531         32            0       1013           10
   31        488        722         24            0       1623           10
   32        451        848         11            0        446           10
   33        307        423         15            0       1033           10
   34        719        304         10            0       1435           10
   35        703        358          2         1515       1565           10
   36          8        815         20         1071       1117           10
   37        227        428         20            0        681           10
   38        121        496         17            0        627           10
   39        143        832         23            0        750           10
   40        521        135         16          675        701           10
   41        104        954         35          765        799           10
   42        438        155         19            0        391           10
   43        444        132          7          353        411           10
   44        796         49         21            0       1290           10
   45        192        429         13            0        542           10
   46        574        215         16            0        640           10
   47        725        365         24         1427       1459           10
   48        725        311         25            0       1574           10
   49        816        605         16            0        673           10
