VEHICLE
NUMBER     CAPACITY
   11          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2109           10
    1        438        781         23            0       1628           10
    2        594        286         16         1299       1342           10
    3        465        474          3         1527       1580           10
    4        923        724         32            0       1309           10
    5        271        821         16            0       1559           10
    6        449        473         23         1088       1129           10
    7        449        475         29          868        928           10
    8         69        827         21          541        577           10
    9        844         34          6            0       1505           10
   10        375        359         31         1817       1845           10
   11        381        919         26          595        643           10
   12        873        650         21         1224       1280           10
   13        578        660          2          535        563           10
   14        650        285          3            0        864           10
   15        648        676          5          457        493           10
   16        197        447         21            0        795           10
   17        631        269         10         1461       1506           10
   18        468        966         27            0       1169           10
   19        417        506         20         1217       1240           10
   20        351        720         30          658        682           10
   21        914        839          4         1463       1516           10
   22        983        671         24         1154       1180           10
   23        423        203         18         1721       1762           10
   24        956        801         14         1075       1128           10
   25        889        759         35         1271       1314           10
   26        510        635         18            0       1457           10
   27        459        714         14         1284       1334           10
   28        506        775         27         1470       1505           10
   29        450        771         17          316        371           10
   30        616        582         29         1110       1153           10
   31        922        400          7            0       1301           10
   32        900        106         27         1281       1323           10
   33        468        444         18            0       1399           10
   34        620        501         34            0        284           10
   35        590        249         35            0       1374           10
   36        832        609         17            0        461           10
   37        426        707         18            0        525           10
   38        421        285         34            0       1286           10
   39        516        492         19         1570       1590           10
   40        844        985         33            0        966           10
   41        697         89         13          727        767           10
   42        482        236          7         1025       1047           10
   43        533        233         24         1776       1790           10
   44        933        755         30         1284       1334           10
   45        952        288         25          936        988           10
   46         22        959         22            0       1347           10
   47        644        313          4         1260       1302           10
   48        911        718          6         1081       1120           10
   49        400         51         33         1581       1619           10
