VEHICLE
NUMBER     CAPACITY
   11          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2290           10
    1        670        857         30          720        746           10
    2        926        991         16            0       1129           10
    3        897        855         35          981        995           10
    4         35        428          3            0        514           10
    5        404        771          8          425        472           10
    6        317        689          9            0        404           10
    7        960        146         13            0       1201           10
    8        347        204         31          492        539           10
    9        611        816         17          449        497           10
   10        307        523          7            0       1349           10
   11        412        608         18            0        707           10
   12        964         42         22          795        820           10
   13        382        790         19            0        458           10
   14        125        162         20         1445       1459           10
   15        658        443         26         1936       1956           10
   16        820        781         13         1813       1842           10
   17        898        103         33            0       1191           10
   18        741        760         26            0       1203           10
   19        246        182         30            0       1496           10
   20        766        530         24            0       1892           10
   21        918        112         21         1301       1333           10
   22        904        818         29         1007       1054           10
   23        927        823          2          897        921           10
   24        467        698         35         1210       1251           10
   25        956         63         14         1565       1580           10
   26        846        887          8            0       1359           10
   27        406        590          1            0       1718           10
   28        251         36          8         1208       1226           10
   29        250        304          6            0       1546           10
   30        946        192         12         1188       1228           10
   31        486        797         26            0        962           10
   32        599        767         15         1246       1286           10
   33        515        154         17          669        695           10
   34        745        838          9          879        899           10
   35        319        871         23            0       1085           10
   36        919        841          5            0        962           10
   37        498        780         13         1148       1187           10
   38        370        821         29         1121       1138           10
   39        393        823         13            0        690           10
   40        541        219         24         1230       1252           10
   41        961        925         21          947        979           10
   42        907       1000          5            0       1002           10
   43        465        557         19         1617       1663           10
   44        913        221         10         1599       1644           10
   45        495        391         26          515        562           10
   46         27          6          9            0       1077           10
   47        960        875         28         1143       1198           10
   48        985        968         15         1047       1106           10
   49        962        160         31            0       1349           10
