VEHICLE
NUMBER     CAPACITY
   16          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2162           10
    1        115        250         34            0       1212           10
    2        188        528         19            0       1815           10
    3        328         39         17         1522       1546           10
    4        532        314         27            0       1778           10
    5        997        188          9            0       1336           10
    6        824        940          4            0       1576           10
    7        343        109          3          970        986           10
    8        475        871         13         1662       1699           10
    9        906        166          5            0       1197           10
   10        607        621          4            0       1982           10
   11        421        373         18            0        621           10
   12        236         24          9            0       1308           10
   13        925        111         20            0       1329           10
   14        143        246         25          979       1027           10
   15        849        398         35            0       1411           10
   16        568        547         29          842        853           10
   17        886        616          3            0        655           10
   18        293         71          7         1227       1282           10
   19        789        361          4          979        992           10
   20        921        284         31          658        680           10
   21        948        100         30            0       1083           10
   22        479        241         27            0       1103           10
   23        965        191         24          949        993           10
   24        698        409         10         1728       1770           10
   25        820        245          5            0        754           10
   26        162        410         19          810        857           10
   27        167        229         20         1242       1272           10
   28        230        536         28            0       1583           10
   29        146        767         13            0        714           10
   30        390        537          6          770        830           10
   31        798        143         27            0       1163           10
   32        185        542         14         1392       1410           10
   33        996         75         21            0       1460           10
   34        302        299         33         1231       1279           10
   35        857        156         26         1135       1147           10
   36        912        829         26            0       1226           10
   37        724        802         20            0       1281           10
   38        522        289         29            0       1058           10
   39        453        260         14            0       1692           10
   40        318         61         33            0       1175           10
   41        479        360         35            0       1722           10
   42        139        271         28          981       1016           10
   43        714        137          3            0        996           10
   44        586        338         19            0       1518           10
   45        208        364         10          412        470           10
   46        546        983         33          802        812           10
   47        140        241         32         1661       1703           10
   48        942        907         19         1380       1422           10
   49        179        258         26         1246       1296           10
   50        631        422         17            0       1427           10
   51        868        858         27         1536       1589           10
   52        521        339          2         1532       1581           10
   53        577        388         26            0       1232           10
   54        138        188          2            0        537           10
   55        520        352         28            0       1487           10
   56        234        545         22            0       1483           10
   57        505        368          7         1069       1094           10
   58       1000        103         17            0       1233           10
   59        233        779          3         1009       1050           10
   60        998        153         16         1298       1315           10
   61        579        435          4          523        549           10
   62         92        213         26         1037       1089           10
   63        730        867          8          573        629           10
   64        310         36          2         1290       1315           10
   65        902        644         31            0       1061           10
   66        527        831         22         1249       1260           10
   67        158        428         14            0       1673           10
   68        699        709          3            0        781           10
   69        927        176         13          987       1032           10
   70        887        941         35            0       1201           10
   71        530        376         33            0       1770           10
   72        968        189         15            0       1326           10
   73        239        225         21         1233       1291           10
   74        797        985         31         1465       1493           10
   75        431        926         30          844        903           10
   76         75        240         23            0       1278           10
   77        974        191         10         1159       1192           10
   78        569        372         18         1436       1493           10
   79        864        954         25            0       1327           10
   80        989        929         30            0        967           10
   81        512        258          9         1481       1514           10
   82        417         32         34          850        894           10
   83        321        120         20            0       1637           10
   84        347        146         26            0       1012           10
   85        319        112         15          746        783           10
   86        929        178         11            0       1363           10
   87        969        159         31         1309       1347           10
   88        479         15          2            0       1277           10
   89        359        317         35            0       1109           10
   90        673        942         26            0        611           10
   91        467        485         19         1666       1688           10
   92        845        576          6          645        675           10
   93        643         75         19            0        684           10
   94        197         19          7         1386       1419           10
   95        986        165         29          948        992           10
   96        933        214         22         1048       1106           10
   97        952        999         28            0       1229           10
   98        458        400          7            0       1789           10
   99        926        307         33            0       1287           10
