VEHICLE
NUMBER     CAPACITY
   17          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2102           10
    1        324        763         34            0        943           10
    2        692        390         33         1559       1600           10
    3        653        369         25            0       1453           10
    4        181        795         17            0       1235           10
    5        352        812          3         1184       1228           10
    6        852        191         22          979        992           10
    7        353        774          1         1259       1298           10
    8        566        368          4            0       1454           10
    9        587        409         13            0       1435           10
   10        704        418         28            0       1319           10
   11        677        509         29            0       1354           10
   12        738        353         35            0       1116           10
   13        781        409         13            0       1453           10
   14        288        725         14            0       1098           10
   15        599        762         24            0       1270           10
   16        335        949         35            0       1391           10
   17        217        856         22          732        776           10
   18        824        101          6            0        821           10
   19        628         47         15          732        772           10
   20        651        395         11            0       1446           10
   21        652        411          5            0       1542           10
   22        340        785         18            0       1166           10
   23        645        781         21          712        756           10
   24         51        465          4            0       1354           10
   25        819        383         12         1289       1317           10
   26         30        119         35            0       1334           10
   27        653        377         33            0       1186           10
   28        259        177         26          507        557           10
   29        392        788         20         1335       1359           10
   30        226        787          3            0       1247           10
   31        327        430         11          998       1054           10
   32        779        411          3          921        965           10
   33        864        208         13         1204       1226           10
   34        318        798         34          812        846           10
   35        157        749         25            0        743           10
   36        649        275         27            0       1334           10
   37        272         61         35            0        955           10
   38        612        323         28            0        905           10
   39        452        826         32         1245       1262           10
   40        713        425         33            0       1217           10
   41        967        119          5         1058       1096           10
   42        731        348         16         1392       1415           10
   43        766        342         32         1412       1448           10
   44        728        400         14            0       1549           10
   45        336        764         33            0        940           10
   46        926        331         21            0       1428           10
   47        687        336         33         1428       1443           10
   48        805        911         11          818        854           10
   49        294        744         15            0        826           10
   50        700        359         19          996       1048           10
   51        473        820          2            0        847           10
   52        249        670         17            0       1005           10
   53        821        354         21          370        388           10
   54        700        481         23         1367       1413           10
   55        656        439         20            0       1688           10
   56        156        866         27            0        934           10
   57        647        398         25         1361       1385           10
   58        714        229         26          895        953           10
   59        305        537          7         1800       1842           10
   60        836        224          5         1180       1221           10
   61        480        998         35         1188       1238           10
   62        254        780         35            0       1195           10
   63        190        498         14            0       1253           10
   64        773        648          1         1168       1224           10
   65        782        425         33         1148       1200           10
   66        267        235         14          746        772           10
   67        352        767         28          890        939           10
   68        942        171         12            0        918           10
   69        284        751          1          648        693           10
   70        708        406         32            0       1492           10
   71        336        832         19         1063       1123           10
   72        691        434         22            0       1427           10
   73        646        327         23            0        537           10
   74        274        738          4          614        641           10
   75        407        485         33          950       1007           10
   76        400        768         23         1092       1148           10
   77        403        784         29         1228       1274           10
   78        709        422          8         1592       1603           10
   79        644        116         12            0       1435           10
   80        602        353          2         1280       1320           10
   81        170        769         12          533        545           10
   82        345        697         29          554        612           10
   83        196        296          6            0       1548           10
   84        608        363         29         1009       1059           10
   85        714        221         17            0       1694           10
   86        205        551         11            0        789           10
   87        107        485         27            0       1552           10
   88        308        928         11            0        568           10
   89        869        918          8            0        866           10
   90        821        213         28            0       1100           10
   91        628        404         15          904        921           10
   92        639        328          5            0       1202           10
   93        332        198         27         1574       1626           10
   94        319        728         26          598        613           10
   95        984        101         18            0        754           10
   96        679         74         25          879        889           10
   97        371        727         24         1194       1215           10
   98        708        362         16            0       1621           10
   99        668        166         16         1673       1689           10
