VEHICLE
NUMBER     CAPACITY
   19          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2161           10
    1        929        279          1            0       1349           10
    2        326        905         29            0       1446           10
    3        320        295          5            0        955           10
    4        545         41         32         1385       1431           10
    5        496        438         24            0        491           10
    6        409        859          9            0        702           10
    7         88        263          7            0       1474           10
    8        539         56         16         1428       1446           10
    9        952        283          4         1248       1305           10
   10        848        919          1         1061       1083           10
   11        830        282         26            0       1316           10
   12        804        604         11         1259       1275           10
   13        185        893          3            0       1526           10
   14        410        949         28            0        841           10
   15        315        317         17            0       1201           10
   16        236        451         13         1325       1374           10
   17        430        374         12            0        693           10
   18        344        384          4         1036       1082           10
   19        698        823         27          907        928           10
   20        918        181         30            0       1368           10
   21        267        306         25         1115       1151           10
   22        406        921          7         1324       1364           10
   23        551         62         32         1488       1521           10
   24          5        439          6          467        516           10
   25        531         48         31         1260       1284           10
   26        544        806         30          896        906           10
   27        303        850         23         1316       1343           10
   28        465        853         33          895        947           10
   29        209        864          3         1603       1632           10
   30        230        512         19          836        851           10
   31        403        108         33            0       1517           10
   32        489         59          9            0       1487           10
   33        362        273         34          663        688           10
   34        325        591         11          347        395           10
   35        305        797         24            0       1586           10
   36        339        909          4            0       1066           10
   37        414        956         35            0       1154           10
   38        253        375         34            0       1532           10
   39        482        461         21            0        284           10
   40        912        699         17            0        652           10
   41        105        151         14         1002       1049           10
   42        810        206         34            0       1515           10
   43        515        482         28            0        635           10
   44        709        713         13            0       1120           10
   45        399        580         14          622        673           10
   46        724        384          2         1142       1183           10
   47        674         33         11         1496       1522           10
   48        609        815         14          544        600           10
   49        271        969         16            0       1076           10
   50        583        861         29            0       1693           10
   51        324        895          7            0        950           10
   52        763        866         12            0       1100           10
   53        380        362         25            0       1067           10
   54        884        187         33         1245       1271           10
   55        544        422         14          419        437           10
   56        396        630         27          893        931           10
   57        880        183         24         1451       1493           10
   58        408         85         22            0       1663           10
   59        971        900         15         1490       1515           10
   60        822        861         13            0       1251           10
   61         30        225         16            0        813           10
   62        161        596         28          357        416           10
   63        956        425         25            0        964           10
   64        545        789         24            0       1053           10
   65        879        708          3         1539       1559           10
   66        316        746          8          733        771           10
   67        280        374          7            0       1640           10
   68        614        921         23          939        985           10
   69        880        305          2            0       1388           10
   70        236        216         32         1160       1208           10
   71        569        181         10          869        881           10
   72        548        361         18          980       1029           10
   73        259        327          2            0        722           10
   74        236        981         20            0       1432           10
   75        871         16         15            0        775           10
   76        557         54         28            0       1036           10
   77        373        981         30            0       1414           10
   78        790         53          3            0       1385           10
   79        894        800         13         1124       1174           10
   80        190        375         13            0        595           10
   81        867        217          5          962       1015           10
   82        763        632         28          379        411           10
   83        192        769         17            0        446           10
   84        313        274         32            0       1264           10
   85        324        290         29         1695       1709           10
   86        930        329         22         1118       1146           10
   87          7        109          6            0       1100           10
   88        575        743         33          737        770           10
   89        697        337         16            0       1000           10
   90        544        151         35            0       1510           10
   91        423        387         22          935        993           10
   92        285         32          4         1106       1146           10
   93        464        354          1            0       1080           10
   94        436        969         15            0        636           10
   95        881         96         35            0        949           10
   96        784        469         34          769        797           10
   97        798        268         32         1209       1258           10
   98         81         27         23          965        990           10
   99        509        446         30            0        385           10
