VEHICLE
NUMBER     CAPACITY
   17          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2328           10
    1         67        669         35         1719       1762           10
    2         65        170         32          544        565           10
    3        747        698         12            0       1443           10
    4        376        686          5         1317       1358           10
    5        632         67         15          529        586           10
    6         66        588         22          663        680           10
    7        912        605         28            0        793           10
    8        697        625         15            0       1689           10
    9        176        359         17         1633       1664           10
   10        116        645         15            0       1463           10
   11         24        245         22            0        570           10
   12        562        873         11            0       1683           10
   13        889        937          4          970        981           10
   14        463        791          7         1338       1394           10
   15        599        225         22            0        916           10
   16        115        299          8            0       1563           10
   17         59        635         21         1581       1620           10
   18        344        687         14         1293       1350           10
   19        900        653          8            0        587           10
   20        541        746         25         1885       1913           10
   21        615         63         23         1153       1212           10
   22        409        680         29         1002       1021           10
   23        647         46         11          985       1032           10
   24        830        746         22         1051       1096           10
   25        302        596         35            0       1142           10
   26        847        882         26          542        557           10
   27        918        299         35         1400       1426           10
   28        595         80          6            0        833           10
   29        454        592          6            0       1603           10
   30        707        617         21            0       1485           10
   31        575        433         21            0       1072           10
   32        179        537         18          410        423           10
   33        184        265          5            0        990           10
   34        734         92         27            0       1139           10
   35         61        691         16         1001       1023           10
   36        749        653         23            0        901           10
   37          8        659         12            0       1552           10
   38        267        317         15            0        723           10
   39        411        783         13            0       1114           10
   40        834        478         34            0       1907           10
   41        111        612         34            0       1586           10
   42        634        894          6          781        811           10
   43        362        643         28         1817       1833           10
   44        632        507         13            0       1247           10
   45         14        580          7         1049       1097           10
   46        905        424         27            0        706           10
   47        435        640         14         1424       1453           10
   48        453         88         10            0        803           10
   49        721        587          1            0       1104           10
   50        842        126         19         1071       1125           10
   51        270        154          4          827        879           10
   52        428        771         12         1522       1569           10
   53         83        599         24          885        920           10
   54        794         69         32            0       1254           10
   55        157        560          8            0       1297           10
   56        712        712         21         1623       1667           10
   57         43        250         20          867        914           10
   58         60        617         17         1212       1241           10
   59        380        413         19            0        580           10
   60         59         96          8          713        739           10
   61        119        186         34          885        942           10
   62        150        677         18            0       1425           10
   63         43        175          1            0        955           10
   64        978        436         32         1484       1510           10
   65        929         13         13          633        665           10
   66         15        794          8         1289       1322           10
   67        664        729         11            0       1596           10
   68        160        146         21            0       1701           10
   69        976        969          1          716        743           10
   70         23        718         23            0       1241           10
   71        477        702         25            0       1114           10
   72        307        664         25          849        875           10
   73        768         47          4            0        905           10
   74        473        206         18            0        685           10
   75        388        588         28            0       1128           10
   76        780         40          6            0       1018           10
   77        645         83         14          929        970           10
   78         33        640         13         1503       1560           10
   79        573         87         18            0        978           10
   80        498        820         19            0        762           10
   81        279        727          7            0        889           10
   82        165        674         20          433        444           10
   83        115        655         16            0       1333           10
   84        682        747         21            0        976           10
   85        356        338         11            0       2045           10
   86        743        675         18         1662       1680           10
   87         81        505         19          720        754           10
   88         80        675          9         1095       1138           10
   89        773        698         14         1523       1544           10
   90        267        642          9          493        530           10
   91         48        270         12          785        796           10
   92        344        792         21          845        864           10
   93        578        338          7            0       1712           10
   94        368        724         19            0       1373           10
   95        727        684         29          926        979           10
   96        133         77         28            0       1040           10
   97         18        615          9          633        657           10
   98        697        145         21          601        661           10
   99        237        915          9            0       1804           10
